pk,date,rainy_days,precip,media
1,1/1,0,0,0
2,1/2,1,0.8,0.114285714286
3,1/3,2,43.0,6.14285714286
4,1/4,1,33.0,4.71428571429
5,1/5,2,6.5,0.928571428571
6,1/6,0,0,0
7,1/7,1,0.3,0.0428571428571
8,1/8,0,0,0
9,1/9,0,0,0
10,1/10,2,12.0,1.71428571429
11,1/11,5,33.0,4.71428571429
12,1/12,0,0,0
13,1/13,0,0,0
14,1/14,0,0,0
15,1/15,1,6.0,0.857142857143
16,1/16,3,65.5,9.35714285714
17,1/17,1,19.0,2.71428571429
18,1/18,0,0,0
19,1/19,2,34.7,4.95714285714
20,1/20,1,7.0,1.0
21,1/21,0,0,0
22,1/22,0,0,0
23,1/23,0,0,0
24,1/24,2,19.0,2.71428571429
25,1/25,1,0.8,0.114285714286
26,1/26,2,13.0,1.85714285714
27,1/27,0,0,0
28,1/28,0,0,0
29,1/29,0,0,0
30,1/30,1,1.0,0.142857142857
31,1/31,3,18.0,2.57142857143
32,2/1,3,5.0,0.714285714286
33,2/2,1,89.0,12.7142857143
34,2/3,3,75.0,10.7142857143
35,2/4,1,9.0,1.28571428571
36,2/5,2,9.0,1.28571428571
37,2/6,2,82.5,11.7857142857
38,2/7,0,0,0
39,2/8,3,47.0,6.71428571429
40,2/9,0,0,0
41,2/10,2,1.2,0.171428571429
42,2/11,1,7.0,1.0
43,2/12,1,0.3,0.0428571428571
44,2/13,0,0,0
45,2/14,0,0,0
46,2/15,0,0,0
47,2/16,3,10.6,1.51428571429
48,2/17,2,18.0,2.57142857143
49,2/18,1,0.5,0.0714285714286
50,2/19,1,6.0,0.857142857143
51,2/20,3,159.6,22.8
52,2/21,1,7.0,1.0
53,2/22,1,59.0,8.42857142857
54,2/23,1,0.6,0.0857142857143
55,2/24,1,0.5,0.0714285714286
56,2/25,3,2.3,0.328571428571
57,2/26,1,6.0,0.857142857143
58,2/27,1,39.0,5.57142857143
59,2/28,1,5.0,0.714285714286
60,2/29,1,54.0,7.71428571429
63,3/1,2,7.5,1.07142857143
64,3/2,3,90.0,12.8571428571
65,3/3,2,82.0,11.7142857143
66,3/4,2,11.1,1.58571428571
67,3/5,1,33.0,4.71428571429
68,3/6,2,14.0,2.0
69,3/7,1,0.5,0.0714285714286
70,3/8,1,0.7,0.1
71,3/9,2,41.0,5.85714285714
72,3/10,1,6.0,0.857142857143
73,3/11,1,6.0,0.857142857143
74,3/12,2,46.0,6.57142857143
75,3/13,1,0.3,0.0428571428571
76,3/14,0,0,0
